#{"t_start": 1764787633.444598, "env_id": "None"}
r,l,t,success
17.604102,314,372.876899,False
17.606618,314,373.124137,False
17.702236,314,373.35115,False
17.746332,314,373.578767,False
17.663968,314,373.817969,False
17.64141,314,376.572171,False
17.660456,314,376.790222,False
17.62264,314,377.011692,False
17.662829,314,377.258427,False
17.720004,314,377.489822,False
17.748428,314,377.755522,False
17.608769,314,377.996369,False
17.62202,314,380.448451,False
17.68705,314,380.660799,False
17.658287,314,380.873982,False
17.746642,314,381.087976,False
17.744835,314,381.320513,False
17.746468,314,381.557231,False
17.747099,314,384.309249,False
17.7485,314,384.587191,False
17.748312,314,384.830324,False
17.604115,314,385.117755,False
17.621663,314,385.347142,False
17.746744,314,385.562646,False
17.747048,314,385.768047,False
17.747189,314,388.442,False
17.604007,314,388.663196,False
17.604108,314,388.868439,False
17.64007,314,389.082805,False
17.748813,314,389.300198,False
17.747254,314,389.514233,False
17.645594,314,392.136576,False
17.612265,314,392.373459,False
17.622903,314,392.587492,False
17.745243,314,392.84874,False
17.605813,314,393.097579,False
17.663047,314,393.313022,False
17.609807,314,393.550601,False
17.627209,314,396.232842,False
17.748489,314,396.454792,False
17.604819,314,396.664265,False
17.612326,314,396.89061,False
17.712642,314,397.116788,False
17.749082,314,397.344647,False
17.660169,314,397.590256,False
17.705942,314,400.38132,False
17.744273,314,400.605664,False
17.748716,314,400.820742,False
17.607664,314,401.04161,False
17.748659,314,401.277753,False
17.604607,314,401.494785,False
17.608919,314,404.178473,False
17.654742,314,404.392305,False
17.605121,314,404.60847,False
17.733644,314,404.81237,False
17.608835,314,405.023041,False
17.615034,314,405.234144,False
17.748452,314,405.457584,False
17.60594,314,408.119501,False
17.653548,314,408.365469,False
17.607238,314,408.584114,False
17.606429,314,408.802646,False
17.604022,314,409.023836,False
17.67169,314,409.24134,False
17.605816,314,411.810806,False
17.609205,314,412.04138,False
17.604788,314,412.2691,False
17.60465,314,412.531029,False
17.604402,314,412.804924,False
17.748814,314,413.108778,False
17.745316,314,413.351408,False
17.646011,314,415.915316,False
17.640659,314,416.142259,False
17.718829,314,416.376672,False
17.732693,314,416.611336,False
17.676665,314,416.868816,False
17.61023,314,417.132146,False
17.746943,314,419.650444,False
17.696699,314,419.868985,False
17.746839,314,420.104071,False
17.604477,314,420.361553,False
17.732214,314,420.627335,False
17.64359,314,420.875516,False
17.748951,314,421.10768,False
17.629996,314,423.856557,False
17.652845,314,424.099104,False
17.747644,314,424.334734,False
17.737404,314,424.587591,False
17.748107,314,424.859912,False
17.635305,314,425.093446,False
17.650182,314,427.608024,False
17.623967,314,427.824078,False
17.640785,314,428.042851,False
17.604542,314,428.272456,False
17.60594,314,428.515447,False
17.631151,314,428.807551,False
17.746295,314,429.07715,False
17.629438,314,431.750638,False
17.623884,314,431.980613,False
17.604327,314,432.20834,False
17.681107,314,432.421697,False
17.704386,314,432.647476,False
17.746057,314,432.861105,False
17.748078,314,435.571635,False
17.607109,314,435.79412,False
17.614061,314,436.028589,False
17.668657,314,436.257082,False
17.667658,314,436.485402,False
17.748327,314,436.71622,False
17.742996,314,436.977423,False
17.616105,314,439.577634,False
17.677995,314,439.809558,False
17.606969,314,440.113158,False
17.622801,314,440.397372,False
17.748588,314,440.611414,False
17.604152,314,440.82362,False
17.746219,314,443.432219,False
17.748722,314,443.647535,False
17.618534,314,443.89678,False
17.624105,314,444.14745,False
17.733633,314,444.434133,False
17.604697,314,444.643056,False
17.604051,314,444.852654,False
17.626695,314,447.480484,False
17.604394,314,447.730124,False
17.619943,314,447.98768,False
17.622867,314,448.220293,False
17.673366,314,448.434686,False
17.61956,314,448.641899,False
17.748245,314,451.272249,False
17.625695,314,451.485978,False
17.713087,314,451.715608,False
17.626997,314,451.956056,False
17.621643,314,452.209423,False
17.615106,314,452.493179,False
17.748795,314,452.720841,False
17.747845,314,455.329021,False
17.746443,314,455.539532,False
17.650324,314,455.749124,False
17.747776,314,455.963418,False
17.68813,314,456.174494,False
17.650023,314,456.432031,False
17.746987,314,459.082291,False
17.607935,314,459.353331,False
17.622489,314,459.567057,False
17.608018,314,459.775253,False
17.620156,314,459.991572,False
17.743155,314,460.206764,False
17.610979,314,460.423937,False
17.655825,314,462.992104,False
17.60564,314,463.19931,False
17.749332,314,463.411551,False
17.748686,314,463.631926,False
17.619014,314,463.853847,False
17.748007,314,464.083794,False
17.642433,314,466.638897,False
17.632069,314,466.896254,False
17.604141,314,467.161481,False
17.747531,314,467.426588,False
17.628031,314,467.724254,False
17.742229,314,467.957176,False
17.748181,314,468.190343,False
17.748529,314,470.774536,False
17.614623,314,471.017873,False
17.747824,314,471.238333,False
17.604529,314,471.525193,False
17.644907,314,471.802802,False
17.612255,314,472.024092,False
17.604031,314,474.538944,False
17.749251,314,474.753784,False
17.623192,314,474.970388,False
17.748383,314,475.185836,False
17.609809,314,475.401259,False
17.747978,314,475.611023,False
17.605653,314,475.850376,False
17.749104,314,478.462928,False
17.749138,314,478.693899,False
17.748079,314,478.969928,False
17.618016,314,479.299244,False
17.677507,314,479.553912,False
17.666129,314,479.775152,False
17.747265,314,482.313412,False
17.614707,314,482.528401,False
17.747277,314,482.742467,False
17.609338,314,482.968054,False
17.643428,314,483.192821,False
17.743855,314,483.470017,False
17.619,314,483.742053,False
17.621205,314,486.311255,False
17.627257,314,486.522742,False
17.748308,314,486.75103,False
17.604061,314,486.969902,False
17.602353,314,487.223375,False
17.60473,314,487.470489,False
17.675735,314,487.697031,False
17.629409,314,490.304381,False
17.61348,314,490.524848,False
17.747704,314,490.745086,False
17.747944,314,490.952983,False
17.684664,314,491.164701,False
17.74822,314,491.40354,False
17.74843,314,493.998844,False
17.748845,314,494.271161,False
17.610481,314,494.556414,False
17.66756,314,494.790377,False
17.748641,314,494.997223,False
17.748425,314,495.201333,False
17.68062,314,495.41576,False
17.698777,314,498.071077,False
17.747782,314,498.287679,False
17.607434,314,498.502614,False
17.668704,314,498.710397,False
17.605482,314,498.923585,False
17.61366,314,499.147854,False
17.697543,314,501.80637,False
17.613847,314,502.024229,False
17.635077,314,502.256992,False
17.622363,314,502.474461,False
17.628581,314,502.774497,False
17.747172,314,503.022149,False
17.748546,314,503.246337,False
17.747994,314,505.845186,False
17.718851,314,506.051491,False
17.741229,314,506.29278,False
17.748073,314,506.521397,False
17.748064,314,506.790595,False
17.715639,314,507.05665,False
17.606279,314,509.588849,False
17.749156,314,509.796334,False
17.724815,314,510.003033,False
17.612549,314,510.219176,False
17.748603,314,510.434679,False
17.611267,314,510.648156,False
17.612362,314,510.874906,False
17.693432,314,513.503266,False
17.74826,314,513.712184,False
17.608968,314,513.932039,False
17.748466,314,514.146396,False
17.671494,314,514.359911,False
17.604362,314,514.590564,False
17.607878,314,517.225233,False
17.607983,314,517.459763,False
17.711193,314,517.678262,False
17.748172,314,517.895811,False
17.618609,314,518.113095,False
17.747925,314,518.327162,False
17.61677,314,518.542066,False
17.615691,314,520.980985,False
17.737046,314,521.203879,False
17.748274,314,521.42317,False
17.748445,314,521.639577,False
17.670604,314,521.850668,False
17.613729,314,522.061832,False
17.747726,314,524.616445,False
17.748173,314,524.839446,False
17.615443,314,525.068138,False
17.61029,314,525.29203,False
17.742145,314,525.538136,False
17.625455,314,525.750451,False
17.629528,314,526.013684,False
17.618666,314,528.618206,False
17.64764,314,528.859887,False
17.749426,314,529.111951,False
17.747876,314,529.325368,False
17.642958,314,529.549126,False
17.644797,314,529.754779,False
17.743536,314,532.317608,False
17.748668,314,532.533828,False
17.747551,314,532.749323,False
17.616876,314,532.994511,False
17.748041,314,533.249304,False
17.748093,314,533.524358,False
17.61244,314,533.777401,False
17.749473,314,536.279181,False
17.637045,314,536.493572,False
17.748712,314,536.747741,False
17.617493,314,537.00476,False
17.747941,314,537.227736,False
17.612835,314,537.438273,False
17.604345,314,540.132601,False
17.651817,314,540.339856,False
17.748929,314,540.557269,False
17.747366,314,540.789471,False
17.74839,314,541.030507,False
17.747621,314,541.276975,False
17.604309,314,541.509588,False
17.749347,314,543.98303,False
17.748793,314,544.189485,False
17.746848,314,544.416197,False
17.748619,314,544.638162,False
17.748086,314,544.922025,False
17.747627,314,545.163324,False
17.748669,314,547.751059,False
17.666119,314,547.966038,False
17.607205,314,548.178902,False
17.614306,314,548.394477,False
17.744728,314,548.606908,False
17.746783,314,548.815938,False
17.748162,314,549.041253,False
17.748529,314,551.498687,False
17.637687,314,551.727238,False
17.618022,314,551.938747,False
17.728739,314,552.220147,False
17.748469,314,552.49748,False
17.643304,314,552.727951,False
17.604357,314,555.302886,False
17.606912,314,555.517633,False
17.60547,314,555.73685,False
17.748344,314,555.958294,False
17.748508,314,556.216888,False
17.631203,314,556.480137,False
17.748222,314,556.71791,False
17.748321,314,559.241734,False
17.734731,314,559.457193,False
17.748665,314,559.696011,False
17.706354,314,559.916989,False
17.748925,314,560.174607,False
17.612145,314,560.456278,False
17.653029,314,562.974502,False
17.747959,314,563.186042,False
17.611561,314,563.401612,False
17.748201,314,563.626322,False
17.704804,314,563.858626,False
17.747435,314,564.110041,False
17.748532,314,564.391011,False
17.748238,314,567.071779,False
17.662077,314,567.283939,False
17.748407,314,567.498213,False
