#{"t_start": 1764741947.369764, "env_id": "None"}
r,l,t,success
23.001271,332,406.231088,False
23.005785,332,406.427283,False
23.06261,332,406.631102,False
23.06249,332,406.84065,False
22.893274,332,407.02941,False
22.930832,332,407.214884,False
22.893217,332,409.885849,False
22.930585,332,410.113974,False
22.895861,332,410.328417,False
23.06317,332,410.530787,False
22.892997,332,410.714958,False
23.042957,332,410.919875,False
22.926063,332,411.132684,False
23.062709,332,413.346928,False
23.08465,332,413.525814,False
22.899716,332,413.725023,False
23.063511,332,413.90409,False
23.063208,332,414.075233,False
22.901307,332,414.254168,False
23.052326,332,416.209104,False
22.893494,332,416.416958,False
23.05916,332,416.684787,False
23.025027,332,416.900477,False
22.926859,332,417.106258,False
22.987953,332,417.291689,False
23.006338,332,419.575015,False
22.975861,332,419.756409,False
22.912984,332,419.929849,False
22.894738,332,420.124626,False
23.006464,332,420.310822,False
22.910361,332,420.515622,False
22.907178,332,422.750321,False
22.955416,332,422.965724,False
22.94595,332,423.161071,False
22.963418,332,423.358866,False
22.925161,332,423.755971,False
22.897573,332,423.953288,False
23.063886,332,426.101485,False
23.062878,332,426.34865,False
22.893454,332,426.592477,False
22.94909,332,426.820912,False
22.911327,332,427.098068,False
23.064119,332,427.349414,False
22.90952,332,429.677596,False
22.895774,332,429.898224,False
22.89445,332,430.112042,False
22.944321,332,430.327236,False
22.898723,332,430.506229,False
22.926162,332,430.69224,False
22.898788,332,431.033873,False
22.936489,332,433.336458,False
22.892943,332,433.506298,False
22.908369,332,433.682701,False
23.061955,332,433.870707,False
22.893525,332,434.054073,False
22.897835,332,434.240475,False
22.895712,332,436.296551,False
22.893167,332,436.469734,False
22.893492,332,436.643054,False
23.057203,332,436.811902,False
22.934219,332,437.003488,False
22.915368,332,437.188893,False
22.90579,332,439.316085,False
22.900255,332,439.494492,False
22.901472,332,439.705452,False
22.908797,332,440.018076,False
22.893292,332,440.411673,False
22.902931,332,440.722913,False
22.89336,332,443.510593,False
22.906727,332,443.764284,False
22.92019,332,444.04721,False
22.900223,332,444.334294,False
22.913117,332,444.594146,False
23.016514,332,444.856682,False
22.978129,332,447.504931,False
22.90136,332,447.740682,False
22.918838,332,447.972853,False
22.897654,332,448.209863,False
22.949022,332,448.442441,False
23.063904,332,448.665574,False
22.94045,332,451.439397,False
22.999306,332,451.697737,False
23.006116,332,451.968697,False
22.923192,332,452.201639,False
23.005389,332,452.436817,False
22.89619,332,452.677904,False
22.914926,332,452.910125,False
22.941805,332,455.390082,False
22.899368,332,455.643611,False
22.940187,332,455.876026,False
