time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss
2150,45,48,98304,0.044091796875,0.005516814,-0.0038466520854854025,-0.013262991793453693,470,0.0003,0.0003373724871835293,0.2,0.9990319609642029,1.170593023300171,-4.728314819931984
2149,46,49,100352,0.05009765625,0.0077529545,-0.0030577572819311173,-0.00036149489460512996,480,0.0003,0.002712818232157588,0.2,0.9909365177154541,1.1846156120300293,-4.7440867811441425
2146,47,50,102400,0.05322265625,0.006912351,-0.005756733313319273,-0.008398025296628475,490,0.0003,0.0027081165867571142,0.2,0.9925817251205444,1.2035893201828003,-4.789347165822983
2144,48,51,104448,0.036669921875,0.005917203,-0.0040544572424551,0.0005249265232123435,500,0.0003,0.0005564319499114845,0.2,0.999133288860321,1.1994136571884155,-4.8033497631549835
2140,49,52,106496,0.038037109375,0.0056235264,-0.0042502489945036356,-0.007999765686690807,510,0.0003,0.001291818699939995,0.2,0.992643415927887,1.1765755414962769,-4.770924036204815
2139,50,53,108544,0.06328125,0.006662997,-0.008320521345012821,0.002852384001016617,520,0.0003,0.000529975988138176,0.2,0.9990312457084656,1.1836562156677246,-4.753424113988876
2138,51,54,110592,0.05498046875,0.0065184506,-0.0042811519291717556,0.0025185917038470507,530,0.0003,0.0005521465065442044,0.2,0.9986962080001831,1.181796669960022,-4.758691146969795
2139,52,55,112640,0.038427734375,0.005300868,-0.004379077190242242,0.01436664815992117,540,0.0003,0.0002559689328933246,0.2,0.9987737536430359,1.1888480186462402,-4.764352069795132
2139,53,56,114688,0.03544921875,0.0046777036,-0.002945978080970235,-0.0215496513992548,550,0.0003,0.002903212733849614,0.2,0.9892172813415527,1.1960866451263428,-4.788015796244144
2140,54,57,116736,0.044091796875,0.00592499,-0.0028486515206168407,0.03227115049958229,560,0.0003,0.002132325218940423,0.2,0.9932237863540649,1.2053531408309937,-4.8063081949949265
2139,55,58,118784,0.06240234375,0.0074232146,-0.006090361252427101,-0.006208891049027443,570,0.0003,0.0008146065762048238,0.2,0.997549831867218,1.2040077447891235,-4.815873515605927
2138,56,59,120832,0.03486328125,0.00506874,-0.0011692764135659672,0.02925753965973854,580,0.0003,0.0025801430388355585,0.2,0.9935131072998047,1.2133903503417969,-4.823518808186054
2139,57,60,122880,0.04091796875,0.005535633,-0.004412002730532549,0.00523593183606863,590,0.0003,0.0004836582626353447,0.2,0.9992569088935852,1.2175135612487793,-4.841460432112217
2140,58,61,124928,0.027783203125,0.004878971,-0.0017739812203217298,-0.011828329414129257,600,0.0003,0.000586858879535157,0.2,0.9984248876571655,1.2243561744689941,-4.852889806032181
2141,59,62,126976,0.048876953125,0.005446963,-0.0037308414874132724,0.008921518921852112,610,0.0003,0.0017245924654844202,0.2,0.9792388081550598,1.2414425611495972,-4.884906986355782
